,id,vervoerwijze,reismotief,regio,jaar,verplaatsingPerDag,afstandPerDag,reisduurPerDag,afstandPerVerplaatsing,reisduurPerVerplaatsing,verplaatsingenPerJaar,afstandPerJaar,reisduurPerJaar
13837,13837,Pedestrian,Touring and hiking,Zuid-Holland (PV),2015,    0.09,    0.25,    3.49,    2.61,   36.91,      33,      86,    20.2
13838,13838,Pedestrian,Touring and hiking,Zuid-Holland (PV),2016,    0.11,    0.28,    3.98,    2.56,   36.67,      38,      97,    23.2
13839,13839,Pedestrian,Touring and hiking,Zuid-Holland (PV),2017,    0.10,    0.28,    3.75,    2.95,   39.24,      33,      98,    21.7
13840,13840,Pedestrian,Touring and hiking,Zeeland (PV),2010,    0.13,    0.33,    4.52,    2.59,   35.31,      44,     115,    26.2
13841,13841,Pedestrian,Touring and hiking,Zeeland (PV),2011,    0.12,    0.29,    4.06,    2.40,   33.43,      42,     101,    23.5
13842,13842,Pedestrian,Touring and hiking,Zeeland (PV),2012,    0.12,    0.33,    4.42,    2.77,   36.90,      42,     116,    25.7
13843,13843,Pedestrian,Touring and hiking,Zeeland (PV),2013,    0.12,    0.31,    4.72,    2.65,   40.21,      41,     108,    27.4
13844,13844,Pedestrian,Touring and hiking,Zeeland (PV),2014,    0.14,    0.38,    4.74,    2.85,   35.12,      47,     134,    27.5
13845,13845,Pedestrian,Touring and hiking,Zeeland (PV),2015,    0.14,    0.40,    5.70,    2.83,   40.78,      49,     138,    33.1
13846,13846,Pedestrian,Touring and hiking,Zeeland (PV),2016,    0.13,    0.38,    4.68,    2.98,   37.02,      44,     132,    27.3
13847,13847,Pedestrian,Touring and hiking,Zeeland (PV),2017,    0.11,    0.31,    4.44,    2.71,   39.09,      39,     107,    25.7
13848,13848,Pedestrian,Touring and hiking,Noord-Brabant (PV),2010,    0.11,    0.30,    4.10,    2.72,   37.50,      38,     103,    23.7
13849,13849,Pedestrian,Touring and hiking,Noord-Brabant (PV),2011,    0.12,    0.28,    3.83,    2.32,   32.02,      42,      97,    22.2
13850,13850,Pedestrian,Touring and hiking,Noord-Brabant (PV),2012,    0.12,    0.29,    4.19,    2.46,   35.52,      41,     101,    24.3
13851,13851,Pedestrian,Touring and hiking,Noord-Brabant (PV),2013,    0.13,    0.31,    4.27,    2.38,   32.34,      46,     109,    24.7
13852,13852,Pedestrian,Touring and hiking,Noord-Brabant (PV),2014,    0.13,    0.34,    4.43,    2.69,   35.19,      44,     118,    25.7
13853,13853,Pedestrian,Touring and hiking,Noord-Brabant (PV),2015,    0.13,    0.33,    4.30,    2.65,   34.16,      44,     116,    25.0
13854,13854,Pedestrian,Touring and hiking,Noord-Brabant (PV),2016,    0.12,    0.33,    4.40,    2.72,   35.97,      43,     116,    25.6
