,id,vervoerwijze,reismotief,regio,jaar,verplaatsingPerDag,afstandPerDag,reisduurPerDag,afstandPerVerplaatsing,reisduurPerVerplaatsing,verplaatsingenPerJaar,afstandPerJaar,reisduurPerJaar
13819,13819,Pedestrian,Touring and hiking,Utrecht (PV),2013,    0.11,    0.28,    3.85,    2.59,   35.45,      38,      98,    22.3
13820,13820,Pedestrian,Touring and hiking,Utrecht (PV),2014,    0.10,    0.31,    4.46,    3.00,   42.82,      36,     109,    25.9
13821,13821,Pedestrian,Touring and hiking,Utrecht (PV),2015,    0.10,    0.30,    3.74,    2.94,   36.56,      36,     105,    21.7
13822,13822,Pedestrian,Touring and hiking,Utrecht (PV),2016,    0.09,    0.26,    3.42,    2.84,   37.93,      32,      90,    19.9
13823,13823,Pedestrian,Touring and hiking,Utrecht (PV),2017,    0.09,    0.22,    3.37,    2.32,   35.87,      33,      75,    19.5
13824,13824,Pedestrian,Touring and hiking,Noord-Holland (PV),2010,    0.10,    0.27,    3.57,    2.72,   36.44,      34,      93,    20.7
13825,13825,Pedestrian,Touring and hiking,Noord-Holland (PV),2011,    0.10,    0.24,    3.61,    2.37,   35.10,      36,      85,    20.9
13826,13826,Pedestrian,Touring and hiking,Noord-Holland (PV),2012,    0.11,    0.29,    4.35,    2.72,   40.87,      37,     101,    25.3
13827,13827,Pedestrian,Touring and hiking,Noord-Holland (PV),2013,    0.09,    0.25,    3.43,    2.72,   37.29,      32,      87,    19.9
13828,13828,Pedestrian,Touring and hiking,Noord-Holland (PV),2014,    0.09,    0.25,    3.28,    2.75,   36.81,      31,      85,    19.0
13829,13829,Pedestrian,Touring and hiking,Noord-Holland (PV),2015,    0.10,    0.27,    3.72,    2.84,   39.07,      33,      94,    21.6
13830,13830,Pedestrian,Touring and hiking,Noord-Holland (PV),2016,    0.10,    0.29,    4.16,    2.73,   39.72,      37,     100,    24.2
13831,13831,Pedestrian,Touring and hiking,Noord-Holland (PV),2017,    0.09,    0.28,    4.00,    3.03,   42.85,      32,      98,    23.1
13832,13832,Pedestrian,Touring and hiking,Zuid-Holland (PV),2010,    0.10,    0.24,    3.29,    2.42,   33.51,      34,      83,    19.0
13833,13833,Pedestrian,Touring and hiking,Zuid-Holland (PV),2011,    0.10,    0.25,    3.69,    2.41,   35.65,      36,      87,    21.4
13834,13834,Pedestrian,Touring and hiking,Zuid-Holland (PV),2012,    0.09,    0.23,    3.29,    2.65,   37.66,      30,      81,    19.1
13835,13835,Pedestrian,Touring and hiking,Zuid-Holland (PV),2013,    0.09,    0.22,    3.24,    2.54,   37.90,      30,      76,    18.8
13836,13836,Pedestrian,Touring and hiking,Zuid-Holland (PV),2014,    0.10,    0.30,    4.33,    2.82,   41.19,      37,     103,    25.1
